,symbol,date,price
22746,Cereals,Jan 1 1991,1.31
22747,Cereals,Jan 1 1992,1.9
22748,Cereals,Jan 1 1993,2.87
22749,Cereals,Jan 1 1994,3.94
22750,Cereals,Jan 1 1995,5.83
22751,Cereals,Jan 1 1996,9.13
22752,Cereals,Jan 1 1997,11.03
22753,Cereals,Jan 1 1998,11.95
22754,Cereals,Jan 1 1999,12.18
22755,Cereals,Jan 1 2000,6.11
22756,Cereals,Jan 1 2001,13.01
22757,Cereals,Jan 1 2002,20.0
22758,Cereals,Jan 1 2003,16.87
22759,Cereals,Jan 1 2004,19.26
22760,Cereals,Jan 1 2005,24.11
22761,Cereals,Jan 1 2006,25.28
22762,Cereals,Jan 1 2007,27.08
22763,Cereals,Jan 1 2008,45.16
22764,Cereals,Jan 1 2009,42.36
22765,Cereals,Jan 1 2010,36.74
22766,Cereals,Jan 1 2011,43.86
22767,Cereals,Jan 1 2012,47.98
22768,Cereals,Jan 1 2013,47.16
22769,Cereals,Jan 1 2014,45.48
22770,Cereals,Jan 1 2015,88.94
22771,Cereals,Jan 1 2016,165.58
22772,Cereals,Jan 1 2017,126.57
22773,Cereals,Jan 1 2018,140.7
22774,Cereals,Jan 1 2019,158.94
22775,Citrus Fruit,Jan 1 1991,5.74
22776,Citrus Fruit,Jan 1 1992,4.46
22777,Citrus Fruit,Jan 1 1993,4.13
22778,Citrus Fruit,Jan 1 1994,5.82
22779,Citrus Fruit,Jan 1 1995,6.08
22780,Citrus Fruit,Jan 1 1996,10.6
22781,Citrus Fruit,Jan 1 1997,11.45
22782,Citrus Fruit,Jan 1 1998,11.91
22783,Citrus Fruit,Jan 1 1999,13.86
22784,Citrus Fruit,Jan 1 2000,33.85
22785,Citrus Fruit,Jan 1 2001,40.74
22786,Citrus Fruit,Jan 1 2002,43.12
22787,Citrus Fruit,Jan 1 2003,42.05
22788,Citrus Fruit,Jan 1 2004,49.25
22789,Citrus Fruit,Jan 1 2005,62.17
22790,Citrus Fruit,Jan 1 2006,84.3
22791,Citrus Fruit,Jan 1 2007,97.03
22792,Citrus Fruit,Jan 1 2008,121.18
22793,Citrus Fruit,Jan 1 2009,113.65
22794,Citrus Fruit,Jan 1 2010,98.57
22795,Citrus Fruit,Jan 1 2011,117.69
22796,Citrus Fruit,Jan 1 2012,128.73
22797,Citrus Fruit,Jan 1 2013,126.54
22798,Citrus Fruit,Jan 1 2014,122.02
22799,Citrus Fruit,Jan 1 2015,104.23
22800,Citrus Fruit,Jan 1 2016,73.74
22801,Citrus Fruit,Jan 1 2017,76.43
22802,Citrus Fruit,Jan 1 2018,84.97
22803,Citrus Fruit,Jan 1 2019,80.83
22804,Coarse Grain,Jan 1 1991,1.38
22805,Coarse Grain,Jan 1 1992,2.01
22806,Coarse Grain,Jan 1 1993,3.03
22807,Coarse Grain,Jan 1 1994,3.98
22808,Coarse Grain,Jan 1 1995,6.08
22809,Coarse Grain,Jan 1 1996,9.07
22810,Coarse Grain,Jan 1 1997,11.76
22811,Coarse Grain,Jan 1 1998,12.89
22812,Coarse Grain,Jan 1 1999,13.01
22813,Coarse Grain,Jan 1 2000,6.16
22814,Coarse Grain,Jan 1 2001,14.17
22815,Coarse Grain,Jan 1 2002,22.16
22816,Coarse Grain,Jan 1 2003,18.62
22817,Coarse Grain,Jan 1 2004,20.53
