,symbol,date,price
24548,Cereals,Jan 1 1991,17.3
24549,Cereals,Jan 1 1992,16.93
24550,Cereals,Jan 1 1993,16.25
24551,Cereals,Jan 1 1994,18.33
24552,Cereals,Jan 1 1995,20.25
24553,Cereals,Jan 1 1996,20.92
24554,Cereals,Jan 1 1997,27.79
24555,Cereals,Jan 1 1998,24.68
24556,Cereals,Jan 1 1999,26.25
24557,Cereals,Jan 1 2000,29.01
24558,Cereals,Jan 1 2001,31.9
24559,Cereals,Jan 1 2002,31.53
24560,Cereals,Jan 1 2003,27.88
24561,Cereals,Jan 1 2004,36.21
24562,Cereals,Jan 1 2005,44.54
24563,Cereals,Jan 1 2006,52.87
24564,Cereals,Jan 1 2007,61.2
24565,Cereals,Jan 1 2008,77.87
24566,Cereals,Jan 1 2009,83.93
24567,Cereals,Jan 1 2010,84.31
24568,Cereals,Jan 1 2011,78.5
24569,Cereals,Jan 1 2012,104.34
24570,Cereals,Jan 1 2013,108.72
24571,Cereals,Jan 1 2014,110.45
24572,Cereals,Jan 1 2015,93.61
24573,Cereals,Jan 1 2016,95.94
24574,Cereals,Jan 1 2017,98.49
24575,Cereals,Jan 1 2018,106.56
24576,Cereals,Jan 1 2019,113.35
24577,Coarse Grain,Jan 1 1991,17.24
24578,Coarse Grain,Jan 1 1992,16.89
24579,Coarse Grain,Jan 1 1993,16.23
24580,Coarse Grain,Jan 1 1994,18.1
24581,Coarse Grain,Jan 1 1995,20.02
24582,Coarse Grain,Jan 1 1996,20.73
24583,Coarse Grain,Jan 1 1997,27.78
24584,Coarse Grain,Jan 1 1998,24.5
24585,Coarse Grain,Jan 1 1999,26.28
24586,Coarse Grain,Jan 1 2000,29.05
24587,Coarse Grain,Jan 1 2001,32.08
24588,Coarse Grain,Jan 1 2002,31.66
24589,Coarse Grain,Jan 1 2003,27.94
24590,Coarse Grain,Jan 1 2004,36.14
24591,Coarse Grain,Jan 1 2005,44.35
24592,Coarse Grain,Jan 1 2006,52.55
24593,Coarse Grain,Jan 1 2007,60.75
24594,Coarse Grain,Jan 1 2008,77.21
24595,Coarse Grain,Jan 1 2009,83.26
24596,Coarse Grain,Jan 1 2010,83.87
24597,Coarse Grain,Jan 1 2011,77.89
