,symbol,date,price
26128,Cereals,Jan 1 1991,48.31
26129,Cereals,Jan 1 1992,48.04
26130,Cereals,Jan 1 1993,48.45
26131,Cereals,Jan 1 1994,49.54
26132,Cereals,Jan 1 1995,50.78
26133,Cereals,Jan 1 1996,48.73
26134,Cereals,Jan 1 1997,49.61
26135,Cereals,Jan 1 1998,51.07
26136,Cereals,Jan 1 1999,49.56
26137,Cereals,Jan 1 2000,51.46
26138,Cereals,Jan 1 2001,47.39
26139,Cereals,Jan 1 2002,47.73
26140,Cereals,Jan 1 2003,48.03
26141,Cereals,Jan 1 2004,48.92
26142,Cereals,Jan 1 2005,47.19
26143,Cereals,Jan 1 2006,49.34
26144,Cereals,Jan 1 2007,50.96
26145,Cereals,Jan 1 2008,72.32
26146,Cereals,Jan 1 2009,76.99
26147,Cereals,Jan 1 2010,78.9
26148,Cereals,Jan 1 2011,84.6
26149,Cereals,Jan 1 2012,106.06
26150,Cereals,Jan 1 2013,106.62
26151,Cereals,Jan 1 2014,94.73
26152,Cereals,Jan 1 2015,103.17
26153,Cereals,Jan 1 2016,102.1
26154,Cereals,Jan 1 2017,93.4
26155,Cereals,Jan 1 2018,99.9
26156,Cereals,Jan 1 2019,100.14
26157,Citrus Fruit,Jan 1 1991,68.19
26158,Citrus Fruit,Jan 1 1992,67.58
26159,Citrus Fruit,Jan 1 1993,53.69
26160,Citrus Fruit,Jan 1 1994,62.95
26161,Citrus Fruit,Jan 1 1995,54.31
26162,Citrus Fruit,Jan 1 1996,269.38
26163,Citrus Fruit,Jan 1 1997,251.79
26164,Citrus Fruit,Jan 1 1998,218.47
26165,Citrus Fruit,Jan 1 1999,240.07
26166,Citrus Fruit,Jan 1 2000,234.82
26167,Citrus Fruit,Jan 1 2001,196.56
26168,Citrus Fruit,Jan 1 2002,178.97
26169,Citrus Fruit,Jan 1 2003,206.74
26170,Citrus Fruit,Jan 1 2004,209.52
26171,Citrus Fruit,Jan 1 2005,184.22
26172,Citrus Fruit,Jan 1 2006,207.36
26173,Citrus Fruit,Jan 1 2007,45.9
26174,Citrus Fruit,Jan 1 2008,53.49
26175,Citrus Fruit,Jan 1 2009,60.32
26176,Citrus Fruit,Jan 1 2010,57.06
26177,Citrus Fruit,Jan 1 2011,65.74
26178,Citrus Fruit,Jan 1 2012,98.04
26179,Citrus Fruit,Jan 1 2013,105.71
26180,Citrus Fruit,Jan 1 2014,93.6
26181,Citrus Fruit,Jan 1 2015,96.86
26182,Citrus Fruit,Jan 1 2016,109.54
26183,Citrus Fruit,Jan 1 2017,50.23
26184,Citrus Fruit,Jan 1 2018,49.42
26185,Citrus Fruit,Jan 1 2019,16.39
26186,Coarse Grain,Jan 1 1991,49.74
26187,Coarse Grain,Jan 1 1992,48.49
26188,Coarse Grain,Jan 1 1993,46.16
26189,Coarse Grain,Jan 1 1994,45.98
26190,Coarse Grain,Jan 1 1995,46.7
26191,Coarse Grain,Jan 1 1996,48.67
26192,Coarse Grain,Jan 1 1997,47.83
26193,Coarse Grain,Jan 1 1998,49.22
26194,Coarse Grain,Jan 1 1999,49.66
26195,Coarse Grain,Jan 1 2000,49.66
26196,Coarse Grain,Jan 1 2001,47.23
26197,Coarse Grain,Jan 1 2002,45.49
26198,Coarse Grain,Jan 1 2003,47.23
26199,Coarse Grain,Jan 1 2004,47.23
26200,Coarse Grain,Jan 1 2005,44.97
26201,Coarse Grain,Jan 1 2006,44.97
26202,Coarse Grain,Jan 1 2007,51.51
26203,Coarse Grain,Jan 1 2008,69.52
26204,Coarse Grain,Jan 1 2009,76.72
26205,Coarse Grain,Jan 1 2010,73.78
26206,Coarse Grain,Jan 1 2011,94.29
26207,Coarse Grain,Jan 1 2012,113.95
26208,Coarse Grain,Jan 1 2013,109.58
26209,Coarse Grain,Jan 1 2014,94.77
26210,Coarse Grain,Jan 1 2015,106.36
26211,Coarse Grain,Jan 1 2016,98.88
26212,Coarse Grain,Jan 1 2017,78.22
26213,Coarse Grain,Jan 1 2018,91.46
26214,Coarse Grain,Jan 1 2019,87.79
26215,Fruit,Jan 1 1991,68.29
26216,Fruit,Jan 1 1992,65.76
26217,Fruit,Jan 1 1993,62.59
26218,Fruit,Jan 1 1994,66.94
26219,Fruit,Jan 1 1995,69.76
26220,Fruit,Jan 1 1996,49.66
26221,Fruit,Jan 1 1997,51.09
26222,Fruit,Jan 1 1998,54.16
26223,Fruit,Jan 1 1999,53.26
26224,Fruit,Jan 1 2000,52.23
26225,Fruit,Jan 1 2001,46.67
26226,Fruit,Jan 1 2002,41.02
26227,Fruit,Jan 1 2003,45.24
26228,Fruit,Jan 1 2004,46.12
26229,Fruit,Jan 1 2005,38.79
