,symbol,date,price
26650,Cereals,Jan 1 1991,12.89
26651,Cereals,Jan 1 1992,19.85
26652,Cereals,Jan 1 1993,29.87
26653,Cereals,Jan 1 1994,28.3
26654,Cereals,Jan 1 1995,36.05
26655,Cereals,Jan 1 1996,48.16
26656,Cereals,Jan 1 1997,46.18
26657,Cereals,Jan 1 1998,57.07
26658,Cereals,Jan 1 1999,48.33
26659,Cereals,Jan 1 2000,46.58
26660,Cereals,Jan 1 2001,51.16
26661,Cereals,Jan 1 2002,45.17
26662,Cereals,Jan 1 2003,44.46
26663,Cereals,Jan 1 2004,63.59
26664,Cereals,Jan 1 2005,50.24
26665,Cereals,Jan 1 2006,48.58
26666,Cereals,Jan 1 2007,61.95
26667,Cereals,Jan 1 2008,82.41
26668,Cereals,Jan 1 2009,69.29
26669,Cereals,Jan 1 2010,72.15
26670,Cereals,Jan 1 2011,89.86
26671,Cereals,Jan 1 2012,74.05
26672,Cereals,Jan 1 2013,89.41
26673,Cereals,Jan 1 2014,102.08
26674,Cereals,Jan 1 2015,96.64
26675,Cereals,Jan 1 2016,101.28
26676,Cereals,Jan 1 2017,101.34
26677,Cereals,Jan 1 2018,97.05
26678,Cereals,Jan 1 2019,96.87
26679,Citrus Fruit,Jan 1 1991,14.37
26680,Citrus Fruit,Jan 1 1992,31.96
26681,Citrus Fruit,Jan 1 1993,38.28
26682,Citrus Fruit,Jan 1 1994,48.79
26683,Citrus Fruit,Jan 1 1995,55.47
26684,Citrus Fruit,Jan 1 1996,60.42
26685,Citrus Fruit,Jan 1 1997,65.91
26686,Citrus Fruit,Jan 1 1998,69.98
26687,Citrus Fruit,Jan 1 1999,55.53
26688,Citrus Fruit,Jan 1 2000,56.66
26689,Citrus Fruit,Jan 1 2001,56.06
26690,Citrus Fruit,Jan 1 2002,49.14
26691,Citrus Fruit,Jan 1 2003,50.53
26692,Citrus Fruit,Jan 1 2004,53.54
26693,Citrus Fruit,Jan 1 2005,54.66
26694,Citrus Fruit,Jan 1 2006,55.51
26695,Citrus Fruit,Jan 1 2007,62.9
26696,Citrus Fruit,Jan 1 2008,70.01
26697,Citrus Fruit,Jan 1 2009,79.29
26698,Citrus Fruit,Jan 1 2010,75.85
26699,Citrus Fruit,Jan 1 2011,87.1
26700,Citrus Fruit,Jan 1 2012,93.19
26701,Citrus Fruit,Jan 1 2013,95.93
26702,Citrus Fruit,Jan 1 2014,99.98
26703,Citrus Fruit,Jan 1 2015,100.82
26704,Citrus Fruit,Jan 1 2016,99.2
26705,Citrus Fruit,Jan 1 2017,89.01
26706,Citrus Fruit,Jan 1 2018,84.22
26707,Citrus Fruit,Jan 1 2019,89.77
26708,Coarse Grain,Jan 1 1991,10.32
26709,Coarse Grain,Jan 1 1992,16.38
26710,Coarse Grain,Jan 1 1993,22.71
26711,Coarse Grain,Jan 1 1994,23.87
26712,Coarse Grain,Jan 1 1995,27.09
26713,Coarse Grain,Jan 1 1996,36.65
26714,Coarse Grain,Jan 1 1997,36.12
26715,Coarse Grain,Jan 1 1998,40.66
26716,Coarse Grain,Jan 1 1999,42.07
26717,Coarse Grain,Jan 1 2000,41.38
26718,Coarse Grain,Jan 1 2001,44.39
26719,Coarse Grain,Jan 1 2002,43.65
26720,Coarse Grain,Jan 1 2003,40.76
26721,Coarse Grain,Jan 1 2004,41.84
26722,Coarse Grain,Jan 1 2005,42.49
26723,Coarse Grain,Jan 1 2006,45.3
26724,Coarse Grain,Jan 1 2007,51.09
26725,Coarse Grain,Jan 1 2008,63.52
26726,Coarse Grain,Jan 1 2009,75.87
26727,Coarse Grain,Jan 1 2010,75.8
26728,Coarse Grain,Jan 1 2011,82.48
26729,Coarse Grain,Jan 1 2012,67.0
26730,Coarse Grain,Jan 1 2013,100.39
26731,Coarse Grain,Jan 1 2014,106.46
26732,Coarse Grain,Jan 1 2015,94.67
26733,Coarse Grain,Jan 1 2016,98.87
26734,Coarse Grain,Jan 1 2017,100.63
26735,Coarse Grain,Jan 1 2018,103.57
26736,Coarse Grain,Jan 1 2019,109.82
26737,Fruit,Jan 1 1991,12.86
26738,Fruit,Jan 1 1992,26.63
26739,Fruit,Jan 1 1993,37.64
26740,Fruit,Jan 1 1994,47.32
26741,Fruit,Jan 1 1995,50.06
26742,Fruit,Jan 1 1996,53.16
26743,Fruit,Jan 1 1997,54.04
26744,Fruit,Jan 1 1998,63.04
26745,Fruit,Jan 1 1999,56.1
26746,Fruit,Jan 1 2000,53.41
26747,Fruit,Jan 1 2001,49.73
26748,Fruit,Jan 1 2002,46.68
26749,Fruit,Jan 1 2003,47.76
26750,Fruit,Jan 1 2004,51.59
26751,Fruit,Jan 1 2005,51.4
26752,Fruit,Jan 1 2006,57.59
26753,Fruit,Jan 1 2007,61.24
26754,Fruit,Jan 1 2008,70.67
26755,Fruit,Jan 1 2009,77.84
