,symbol,date,price
27781,Cereals,Jan 1 1991,18.92
27782,Cereals,Jan 1 1992,18.76
27783,Cereals,Jan 1 1993,18.82
27784,Cereals,Jan 1 1994,18.83
27785,Cereals,Jan 1 1995,19.17
27786,Cereals,Jan 1 1996,19.24
27787,Cereals,Jan 1 1997,19.64
27788,Cereals,Jan 1 1998,60.8
27789,Cereals,Jan 1 1999,72.79
27790,Cereals,Jan 1 2000,70.35
27791,Cereals,Jan 1 2001,72.23
27792,Cereals,Jan 1 2002,63.91
27793,Cereals,Jan 1 2003,65.69
27794,Cereals,Jan 1 2004,81.88
27795,Cereals,Jan 1 2005,84.99
27796,Cereals,Jan 1 2006,94.64
27797,Cereals,Jan 1 2007,84.21
27798,Cereals,Jan 1 2008,106.92
27799,Cereals,Jan 1 2009,129.62
27800,Cereals,Jan 1 2010,135.51
27801,Cereals,Jan 1 2011,105.23
27802,Cereals,Jan 1 2012,81.1
27803,Cereals,Jan 1 2013,104.66
27804,Cereals,Jan 1 2014,98.53
27805,Cereals,Jan 1 2015,99.78
27806,Cereals,Jan 1 2016,101.69
27807,Cereals,Jan 1 2017,104.43
27808,Cereals,Jan 1 2018,106.53
27809,Cereals,Jan 1 2019,110.58
27810,Citrus Fruit,Jan 1 1991,43.19
27811,Citrus Fruit,Jan 1 1992,41.96
27812,Citrus Fruit,Jan 1 1993,41.25
27813,Citrus Fruit,Jan 1 1994,40.27
27814,Citrus Fruit,Jan 1 1995,43.43
27815,Citrus Fruit,Jan 1 1996,44.69
27816,Citrus Fruit,Jan 1 1997,45.27
27817,Citrus Fruit,Jan 1 1998,47.26
27818,Citrus Fruit,Jan 1 1999,110.6
27819,Citrus Fruit,Jan 1 2000,79.5
27820,Citrus Fruit,Jan 1 2001,57.7
27821,Citrus Fruit,Jan 1 2002,64.73
27822,Citrus Fruit,Jan 1 2003,65.31
27823,Citrus Fruit,Jan 1 2004,67.28
27824,Citrus Fruit,Jan 1 2005,73.97
27825,Citrus Fruit,Jan 1 2006,73.42
27826,Citrus Fruit,Jan 1 2007,76.96
27827,Citrus Fruit,Jan 1 2008,77.77
27828,Citrus Fruit,Jan 1 2009,84.26
27829,Citrus Fruit,Jan 1 2010,96.34
27830,Citrus Fruit,Jan 1 2011,93.33
27831,Citrus Fruit,Jan 1 2012,90.81
27832,Citrus Fruit,Jan 1 2013,95.39
27833,Citrus Fruit,Jan 1 2014,103.79
27834,Citrus Fruit,Jan 1 2015,95.84
27835,Citrus Fruit,Jan 1 2016,98.03
27836,Citrus Fruit,Jan 1 2017,94.41
27837,Citrus Fruit,Jan 1 2018,94.98
27838,Citrus Fruit,Jan 1 2019,93.37
27839,Coarse Grain,Jan 1 1991,43.94
27840,Coarse Grain,Jan 1 1992,41.28
27841,Coarse Grain,Jan 1 1993,42.27
27842,Coarse Grain,Jan 1 1994,42.5
27843,Coarse Grain,Jan 1 1995,47.93
27844,Coarse Grain,Jan 1 1996,49.04
27845,Coarse Grain,Jan 1 1997,55.37
27846,Coarse Grain,Jan 1 1998,60.8
27847,Coarse Grain,Jan 1 1999,72.79
27848,Coarse Grain,Jan 1 2000,70.35
27849,Coarse Grain,Jan 1 2001,72.23
27850,Coarse Grain,Jan 1 2002,63.91
27851,Coarse Grain,Jan 1 2003,65.69
27852,Coarse Grain,Jan 1 2004,81.88
