,symbol,date,price
29545,Fruit,Jan 1 2015,79.15
29546,Fruit,Jan 1 2016,120.85
29547,Fruit,Jan 1 2017,120.85
29548,Fruit,Jan 1 2018,120.85
29549,Fruit,Jan 1 2019,139.68
29550,Roots and Tubers,Jan 1 2015,96.71
29551,Roots and Tubers,Jan 1 2016,103.29
29552,Roots and Tubers,Jan 1 2017,149.91
29553,Roots and Tubers,Jan 1 2018,150.62
29554,Roots and Tubers,Jan 1 2019,153.57
29555,Vegetables,Jan 1 2015,78.69
29556,Vegetables,Jan 1 2016,121.31
29557,Vegetables,Jan 1 2017,93.4
29558,Vegetables,Jan 1 2018,97.43
29559,Vegetables,Jan 1 2019,101.12
