,symbol,date,price
29867,Citrus Fruit,Jan 1 2012,50.54
29868,Citrus Fruit,Jan 1 2013,34.87
29869,Citrus Fruit,Jan 1 2014,96.94
29870,Citrus Fruit,Jan 1 2015,114.8
29871,Citrus Fruit,Jan 1 2016,88.26
29872,Citrus Fruit,Jan 1 2017,195.59
29873,Citrus Fruit,Jan 1 2018,492.25
29874,Citrus Fruit,Jan 1 2019,794.13
29875,Fruit,Jan 1 2012,109.36
29876,Fruit,Jan 1 2013,119.55
29877,Fruit,Jan 1 2014,80.25
29878,Fruit,Jan 1 2015,119.97
29879,Fruit,Jan 1 2016,99.78
29880,Fruit,Jan 1 2017,67.05
29881,Fruit,Jan 1 2018,75.24
29882,Fruit,Jan 1 2019,58.68
29883,Roots and Tubers,Jan 1 2012,116.78
29884,Roots and Tubers,Jan 1 2013,92.25
29885,Roots and Tubers,Jan 1 2014,78.76
29886,Roots and Tubers,Jan 1 2015,101.26
29887,Roots and Tubers,Jan 1 2016,119.98
29888,Roots and Tubers,Jan 1 2017,81.29
29889,Roots and Tubers,Jan 1 2018,119.95
29890,Roots and Tubers,Jan 1 2019,134.65
