,symbol,date,price
29891,Cereals,Jan 1 1991,54.16
29892,Cereals,Jan 1 1992,53.93
29893,Cereals,Jan 1 1993,52.52
29894,Cereals,Jan 1 1994,52.06
29895,Cereals,Jan 1 1995,54.06
29896,Cereals,Jan 1 1996,56.13
29897,Cereals,Jan 1 1997,56.43
29898,Cereals,Jan 1 1998,51.49
29899,Cereals,Jan 1 1999,55.69
29900,Cereals,Jan 1 2000,58.63
29901,Cereals,Jan 1 2001,57.67
29902,Cereals,Jan 1 2002,58.44
29903,Cereals,Jan 1 2003,60.16
29904,Cereals,Jan 1 2004,60.16
29905,Cereals,Jan 1 2005,60.16
29906,Cereals,Jan 1 2006,60.16
29907,Cereals,Jan 1 2007,60.16
29908,Cereals,Jan 1 2008,60.16
29909,Cereals,Jan 1 2009,90.24
29910,Cereals,Jan 1 2010,83.92
29911,Cereals,Jan 1 2011,83.62
29912,Cereals,Jan 1 2012,83.92
29913,Cereals,Jan 1 2013,86.63
29914,Cereals,Jan 1 2014,91.55
29915,Cereals,Jan 1 2015,104.11
29916,Cereals,Jan 1 2016,104.34
29917,Cereals,Jan 1 2017,104.37
29918,Cereals,Jan 1 2018,104.12
29919,Cereals,Jan 1 2019,104.21
29920,Citrus Fruit,Jan 1 1991,81.06
29921,Citrus Fruit,Jan 1 1992,80.78
29922,Citrus Fruit,Jan 1 1993,78.76
29923,Citrus Fruit,Jan 1 1994,77.92
29924,Citrus Fruit,Jan 1 1995,80.6
29925,Citrus Fruit,Jan 1 1996,83.46
29926,Citrus Fruit,Jan 1 1997,85.76
29927,Citrus Fruit,Jan 1 1998,78.42
29928,Citrus Fruit,Jan 1 1999,84.05
29929,Citrus Fruit,Jan 1 2000,77.82
29930,Citrus Fruit,Jan 1 2001,87.16
29931,Citrus Fruit,Jan 1 2002,77.82
29932,Citrus Fruit,Jan 1 2003,77.82
29933,Citrus Fruit,Jan 1 2004,78.01
29934,Citrus Fruit,Jan 1 2005,80.91
29935,Citrus Fruit,Jan 1 2006,84.14
29936,Citrus Fruit,Jan 1 2007,85.57
29937,Citrus Fruit,Jan 1 2008,88.26
29938,Citrus Fruit,Jan 1 2009,88.84
29939,Citrus Fruit,Jan 1 2010,91.95
29940,Citrus Fruit,Jan 1 2011,92.24
29941,Citrus Fruit,Jan 1 2012,94.25
29942,Citrus Fruit,Jan 1 2013,95.99
29943,Citrus Fruit,Jan 1 2014,98.02
