,symbol,date,price
30419,Cereals,Jan 1 2006,51.67
30420,Cereals,Jan 1 2007,77.3
30421,Cereals,Jan 1 2008,74.5
30422,Cereals,Jan 1 2009,59.51
30423,Cereals,Jan 1 2010,86.25
30424,Cereals,Jan 1 2011,112.82
30425,Cereals,Jan 1 2012,136.33
30426,Cereals,Jan 1 2013,107.67
30427,Cereals,Jan 1 2014,98.62
30428,Cereals,Jan 1 2015,103.04
30429,Cereals,Jan 1 2016,98.33
30430,Cereals,Jan 1 2017,105.78
30431,Cereals,Jan 1 2018,97.83
30432,Cereals,Jan 1 2019,99.65
30433,Coarse Grain,Jan 1 2006,50.65
30434,Coarse Grain,Jan 1 2007,81.78
30435,Coarse Grain,Jan 1 2008,68.32
30436,Coarse Grain,Jan 1 2009,60.01
30437,Coarse Grain,Jan 1 2010,89.91
30438,Coarse Grain,Jan 1 2011,114.98
30439,Coarse Grain,Jan 1 2012,139.46
30440,Coarse Grain,Jan 1 2013,108.99
30441,Coarse Grain,Jan 1 2014,95.71
30442,Coarse Grain,Jan 1 2015,102.52
30443,Coarse Grain,Jan 1 2016,101.77
30444,Coarse Grain,Jan 1 2017,108.17
30445,Coarse Grain,Jan 1 2018,98.19
30446,Coarse Grain,Jan 1 2019,97.18
30447,Fruit,Jan 1 2006,39.03
30448,Fruit,Jan 1 2007,53.09
30449,Fruit,Jan 1 2008,50.53
30450,Fruit,Jan 1 2009,41.8
30451,Fruit,Jan 1 2010,72.26
30452,Fruit,Jan 1 2011,75.81
30453,Fruit,Jan 1 2012,113.04
30454,Fruit,Jan 1 2013,82.06
30455,Fruit,Jan 1 2014,86.23
30456,Fruit,Jan 1 2015,108.73
30457,Fruit,Jan 1 2016,105.03
30458,Fruit,Jan 1 2017,115.13
30459,Fruit,Jan 1 2018,106.83
30460,Fruit,Jan 1 2019,96.28
30461,Meat,Jan 1 2006,49.87
30462,Meat,Jan 1 2007,57.87
30463,Meat,Jan 1 2008,73.91
30464,Meat,Jan 1 2009,82.6
30465,Meat,Jan 1 2010,76.96
30466,Meat,Jan 1 2011,87.58
30467,Meat,Jan 1 2012,104.92
30468,Meat,Jan 1 2013,107.72
30469,Meat,Jan 1 2014,107.63
30470,Meat,Jan 1 2015,98.42
30471,Meat,Jan 1 2016,93.95
30472,Meat,Jan 1 2017,101.61
30473,Meat,Jan 1 2018,96.08
30474,Meat,Jan 1 2019,93.91
30475,Milk,Jan 1 2006,46.94
30476,Milk,Jan 1 2007,56.9
30477,Milk,Jan 1 2008,73.59
30478,Milk,Jan 1 2009,66.5
30479,Milk,Jan 1 2010,72.88
30480,Milk,Jan 1 2011,89.19
30481,Milk,Jan 1 2012,94.78
30482,Milk,Jan 1 2013,103.81
30483,Milk,Jan 1 2014,102.7
30484,Milk,Jan 1 2015,99.85
30485,Milk,Jan 1 2016,97.45
30486,Milk,Jan 1 2017,96.69
30487,Milk,Jan 1 2018,100.12
30488,Milk,Jan 1 2019,99.96
30489,Pulses,Jan 1 2006,43.01
30490,Pulses,Jan 1 2007,50.91
30491,Pulses,Jan 1 2008,63.74
30492,Pulses,Jan 1 2009,56.25
30493,Pulses,Jan 1 2010,57.84
30494,Pulses,Jan 1 2011,67.54
30495,Pulses,Jan 1 2012,86.19
30496,Pulses,Jan 1 2013,104.44
30497,Pulses,Jan 1 2014,113.01
30498,Pulses,Jan 1 2015,101.0
30499,Pulses,Jan 1 2016,85.99
30500,Pulses,Jan 1 2017,95.02
30501,Pulses,Jan 1 2018,99.52
30502,Pulses,Jan 1 2019,102.89
30503,Roots and Tubers,Jan 1 2006,57.71
30504,Roots and Tubers,Jan 1 2007,65.15
30505,Roots and Tubers,Jan 1 2008,74.61
30506,Roots and Tubers,Jan 1 2009,66.07
30507,Roots and Tubers,Jan 1 2010,106.7
30508,Roots and Tubers,Jan 1 2011,105.21
30509,Roots and Tubers,Jan 1 2012,109.14
30510,Roots and Tubers,Jan 1 2013,123.34
30511,Roots and Tubers,Jan 1 2014,106.52
30512,Roots and Tubers,Jan 1 2015,104.86
30513,Roots and Tubers,Jan 1 2016,88.62
30514,Roots and Tubers,Jan 1 2017,99.74
30515,Roots and Tubers,Jan 1 2018,140.19
30516,Roots and Tubers,Jan 1 2019,133.95
30517,Treenuts,Jan 1 2006,48.75
30518,Treenuts,Jan 1 2007,58.41
30519,Treenuts,Jan 1 2008,58.95
30520,Treenuts,Jan 1 2009,57.46
30521,Treenuts,Jan 1 2010,67.89
30522,Treenuts,Jan 1 2011,108.91
30523,Treenuts,Jan 1 2012,94.14
30524,Treenuts,Jan 1 2013,103.63
30525,Treenuts,Jan 1 2014,97.62
30526,Treenuts,Jan 1 2015,104.46
30527,Treenuts,Jan 1 2016,97.92
30528,Treenuts,Jan 1 2017,120.74
30529,Treenuts,Jan 1 2018,106.12
30530,Treenuts,Jan 1 2019,81.72
30531,Vegetables,Jan 1 2006,49.3
30532,Vegetables,Jan 1 2007,60.15
30533,Vegetables,Jan 1 2008,62.82
30534,Vegetables,Jan 1 2009,64.52
30535,Vegetables,Jan 1 2010,105.54
30536,Vegetables,Jan 1 2011,78.43
30537,Vegetables,Jan 1 2012,103.97
30538,Vegetables,Jan 1 2013,88.81
30539,Vegetables,Jan 1 2014,104.12
30540,Vegetables,Jan 1 2015,95.72
30541,Vegetables,Jan 1 2016,100.16
30542,Vegetables,Jan 1 2017,101.33
30543,Vegetables,Jan 1 2018,104.25
30544,Vegetables,Jan 1 2019,124.8
