,symbol,date,price
30545,Citrus Fruit,Jan 1 2008,65.9
30546,Citrus Fruit,Jan 1 2009,64.67
30547,Citrus Fruit,Jan 1 2010,76.02
30548,Citrus Fruit,Jan 1 2011,81.97
30549,Citrus Fruit,Jan 1 2012,91.54
30550,Citrus Fruit,Jan 1 2013,108.56
30551,Citrus Fruit,Jan 1 2014,105.19
30552,Citrus Fruit,Jan 1 2015,96.99
30553,Citrus Fruit,Jan 1 2016,97.82
30554,Citrus Fruit,Jan 1 2017,108.31
30555,Citrus Fruit,Jan 1 2018,110.57
30556,Citrus Fruit,Jan 1 2019,118.33
30557,Fruit,Jan 1 2008,54.5
30558,Fruit,Jan 1 2009,53.37
30559,Fruit,Jan 1 2010,61.81
30560,Fruit,Jan 1 2011,69.4
30561,Fruit,Jan 1 2012,70.02
30562,Fruit,Jan 1 2013,81.9
30563,Fruit,Jan 1 2014,105.19
30564,Fruit,Jan 1 2015,97.0
30565,Fruit,Jan 1 2016,97.82
30566,Fruit,Jan 1 2017,108.31
30567,Fruit,Jan 1 2018,110.57
30568,Fruit,Jan 1 2019,119.8
30569,Roots and Tubers,Jan 1 2008,68.14
30570,Roots and Tubers,Jan 1 2009,73.18
30571,Roots and Tubers,Jan 1 2010,73.55
30572,Roots and Tubers,Jan 1 2011,76.48
30573,Roots and Tubers,Jan 1 2012,85.61
30574,Roots and Tubers,Jan 1 2013,94.02
30575,Roots and Tubers,Jan 1 2014,105.19
30576,Roots and Tubers,Jan 1 2015,96.99
30577,Roots and Tubers,Jan 1 2016,97.82
30578,Roots and Tubers,Jan 1 2017,108.31
30579,Roots and Tubers,Jan 1 2018,110.57
30580,Roots and Tubers,Jan 1 2019,118.99
30581,Vegetables,Jan 1 2008,101.46
30582,Vegetables,Jan 1 2009,136.66
30583,Vegetables,Jan 1 2010,135.8
30584,Vegetables,Jan 1 2011,131.35
30585,Vegetables,Jan 1 2012,173.74
30586,Vegetables,Jan 1 2013,138.63
30587,Vegetables,Jan 1 2014,105.19
30588,Vegetables,Jan 1 2015,96.99
30589,Vegetables,Jan 1 2016,97.82
30590,Vegetables,Jan 1 2017,108.31
30591,Vegetables,Jan 1 2018,110.57
30592,Vegetables,Jan 1 2019,115.34
