,symbol,date,price
30784,Cereals,Jan 1 1993,81.03
30785,Cereals,Jan 1 1994,81.21
30786,Cereals,Jan 1 1995,78.26
30787,Cereals,Jan 1 1996,92.77
30788,Cereals,Jan 1 1997,95.56
30789,Cereals,Jan 1 1998,88.66
30790,Cereals,Jan 1 1999,85.84
30791,Cereals,Jan 1 2000,94.28
30792,Cereals,Jan 1 2001,104.7
30793,Cereals,Jan 1 2002,101.27
30794,Cereals,Jan 1 2003,99.37
30795,Cereals,Jan 1 2004,101.39
30796,Cereals,Jan 1 2005,87.17
30797,Cereals,Jan 1 2006,89.9
30798,Cereals,Jan 1 2007,128.26
30799,Cereals,Jan 1 2008,126.07
30800,Cereals,Jan 1 2009,80.25
30801,Cereals,Jan 1 2010,103.74
30802,Cereals,Jan 1 2011,131.38
30803,Cereals,Jan 1 2012,142.63
30804,Cereals,Jan 1 2013,123.9
30805,Cereals,Jan 1 2014,104.52
30806,Cereals,Jan 1 2015,104.37
30807,Cereals,Jan 1 2016,91.12
30808,Cereals,Jan 1 2017,100.79
30809,Cereals,Jan 1 2018,107.78
30810,Cereals,Jan 1 2019,107.57
30811,Coarse Grain,Jan 1 1993,81.11
30812,Coarse Grain,Jan 1 1994,82.67
30813,Coarse Grain,Jan 1 1995,82.17
30814,Coarse Grain,Jan 1 1996,99.25
30815,Coarse Grain,Jan 1 1997,93.83
30816,Coarse Grain,Jan 1 1998,82.95
30817,Coarse Grain,Jan 1 1999,81.51
30818,Coarse Grain,Jan 1 2000,94.39
30819,Coarse Grain,Jan 1 2001,104.57
30820,Coarse Grain,Jan 1 2002,100.97
30821,Coarse Grain,Jan 1 2003,99.93
30822,Coarse Grain,Jan 1 2004,100.88
30823,Coarse Grain,Jan 1 2005,88.39
30824,Coarse Grain,Jan 1 2006,90.38
30825,Coarse Grain,Jan 1 2007,131.03
30826,Coarse Grain,Jan 1 2008,121.69
30827,Coarse Grain,Jan 1 2009,80.96
30828,Coarse Grain,Jan 1 2010,105.32
30829,Coarse Grain,Jan 1 2011,126.82
30830,Coarse Grain,Jan 1 2012,143.35
30831,Coarse Grain,Jan 1 2013,127.29
30832,Coarse Grain,Jan 1 2014,101.79
30833,Coarse Grain,Jan 1 2015,103.22
30834,Coarse Grain,Jan 1 2016,94.99
30835,Coarse Grain,Jan 1 2017,101.74
30836,Coarse Grain,Jan 1 2018,107.96
30837,Coarse Grain,Jan 1 2019,105.83
30838,Fruit,Jan 1 1993,48.3
30839,Fruit,Jan 1 1994,57.81
30840,Fruit,Jan 1 1995,74.94
30841,Fruit,Jan 1 1996,67.56
30842,Fruit,Jan 1 1997,77.5
30843,Fruit,Jan 1 1998,75.73
30844,Fruit,Jan 1 1999,75.37
30845,Fruit,Jan 1 2000,81.52
30846,Fruit,Jan 1 2001,87.39
30847,Fruit,Jan 1 2002,91.11
30848,Fruit,Jan 1 2003,89.13
30849,Fruit,Jan 1 2004,87.69
30850,Fruit,Jan 1 2005,87.22
30851,Fruit,Jan 1 2006,87.0
30852,Fruit,Jan 1 2007,88.34
30853,Fruit,Jan 1 2008,89.76
30854,Fruit,Jan 1 2009,82.68
30855,Fruit,Jan 1 2010,92.31
30856,Fruit,Jan 1 2011,93.71
30857,Fruit,Jan 1 2012,98.91
30858,Fruit,Jan 1 2013,97.22
30859,Fruit,Jan 1 2014,93.47
30860,Fruit,Jan 1 2015,100.73
30861,Fruit,Jan 1 2016,105.81
30862,Fruit,Jan 1 2017,120.89
30863,Fruit,Jan 1 2018,116.08
30864,Fruit,Jan 1 2019,119.34
30865,Meat,Jan 1 1993,81.87
30866,Meat,Jan 1 1994,98.08
30867,Meat,Jan 1 1995,97.75
30868,Meat,Jan 1 1996,102.69
30869,Meat,Jan 1 1997,107.57
30870,Meat,Jan 1 1998,110.96
30871,Meat,Jan 1 1999,108.82
30872,Meat,Jan 1 2000,115.09
30873,Meat,Jan 1 2001,129.05
30874,Meat,Jan 1 2002,123.5
30875,Meat,Jan 1 2003,109.03
30876,Meat,Jan 1 2004,107.81
30877,Meat,Jan 1 2005,108.83
30878,Meat,Jan 1 2006,105.69
30879,Meat,Jan 1 2007,101.51
30880,Meat,Jan 1 2008,107.59
30881,Meat,Jan 1 2009,96.98
30882,Meat,Jan 1 2010,93.6
30883,Meat,Jan 1 2011,99.41
30884,Meat,Jan 1 2012,104.77
30885,Meat,Jan 1 2013,110.54
30886,Meat,Jan 1 2014,105.23
30887,Meat,Jan 1 2015,98.43
30888,Meat,Jan 1 2016,96.34
30889,Meat,Jan 1 2017,99.4
30890,Meat,Jan 1 2018,99.3
30891,Meat,Jan 1 2019,101.49
30892,Milk,Jan 1 1993,75.32
30893,Milk,Jan 1 1994,80.85
30894,Milk,Jan 1 1995,80.74
30895,Milk,Jan 1 1996,80.33
30896,Milk,Jan 1 1997,87.14
30897,Milk,Jan 1 1998,93.01
30898,Milk,Jan 1 1999,93.21
30899,Milk,Jan 1 2000,100.99
30900,Milk,Jan 1 2001,104.58
30901,Milk,Jan 1 2002,108.4
30902,Milk,Jan 1 2003,108.68
30903,Milk,Jan 1 2004,111.45
30904,Milk,Jan 1 2005,114.24
30905,Milk,Jan 1 2006,113.83
30906,Milk,Jan 1 2007,115.52
30907,Milk,Jan 1 2008,123.24
30908,Milk,Jan 1 2009,74.49
30909,Milk,Jan 1 2010,82.54
30910,Milk,Jan 1 2011,103.0
30911,Milk,Jan 1 2012,103.41
30912,Milk,Jan 1 2013,106.0
30913,Milk,Jan 1 2014,110.89
30914,Milk,Jan 1 2015,101.26
30915,Milk,Jan 1 2016,87.84
30916,Milk,Jan 1 2017,99.63
30917,Milk,Jan 1 2018,107.38
30918,Milk,Jan 1 2019,109.87
30919,Pulses,Jan 1 1993,58.93
30920,Pulses,Jan 1 1994,63.68
30921,Pulses,Jan 1 1995,93.71
30922,Pulses,Jan 1 1996,62.93
30923,Pulses,Jan 1 1997,73.31
30924,Pulses,Jan 1 1998,73.34
30925,Pulses,Jan 1 1999,69.2
30926,Pulses,Jan 1 2000,72.12
30927,Pulses,Jan 1 2001,79.69
30928,Pulses,Jan 1 2002,77.82
30929,Pulses,Jan 1 2003,78.31
30930,Pulses,Jan 1 2004,79.02
30931,Pulses,Jan 1 2005,76.07
30932,Pulses,Jan 1 2006,73.5
30933,Pulses,Jan 1 2007,76.48
30934,Pulses,Jan 1 2008,94.38
30935,Pulses,Jan 1 2009,92.74
30936,Pulses,Jan 1 2010,102.98
30937,Pulses,Jan 1 2011,99.43
30938,Pulses,Jan 1 2012,98.34
30939,Pulses,Jan 1 2013,115.55
30940,Pulses,Jan 1 2014,109.4
30941,Pulses,Jan 1 2015,98.21
30942,Pulses,Jan 1 2016,92.39
30943,Pulses,Jan 1 2017,93.63
30944,Pulses,Jan 1 2018,91.14
30945,Pulses,Jan 1 2019,89.6
30946,Roots and Tubers,Jan 1 1993,45.54
30947,Roots and Tubers,Jan 1 1994,99.19
30948,Roots and Tubers,Jan 1 1995,114.37
30949,Roots and Tubers,Jan 1 1996,63.4
30950,Roots and Tubers,Jan 1 1997,60.02
30951,Roots and Tubers,Jan 1 1998,72.64
30952,Roots and Tubers,Jan 1 1999,82.89
30953,Roots and Tubers,Jan 1 2000,81.4
30954,Roots and Tubers,Jan 1 2001,70.28
30955,Roots and Tubers,Jan 1 2002,74.39
30956,Roots and Tubers,Jan 1 2003,80.23
30957,Roots and Tubers,Jan 1 2004,83.5
30958,Roots and Tubers,Jan 1 2005,74.69
30959,Roots and Tubers,Jan 1 2006,90.5
30960,Roots and Tubers,Jan 1 2007,102.95
30961,Roots and Tubers,Jan 1 2008,87.1
30962,Roots and Tubers,Jan 1 2009,76.65
30963,Roots and Tubers,Jan 1 2010,106.08
30964,Roots and Tubers,Jan 1 2011,112.97
30965,Roots and Tubers,Jan 1 2012,81.71
