,symbol,date,price
31279,Cereals,Jan 1 1991,14.94
31280,Cereals,Jan 1 1992,18.52
31281,Cereals,Jan 1 1993,17.53
31282,Cereals,Jan 1 1994,16.08
31283,Cereals,Jan 1 1995,23.01
31284,Cereals,Jan 1 1996,24.07
31285,Cereals,Jan 1 1997,23.59
31286,Cereals,Jan 1 1998,23.02
31287,Cereals,Jan 1 1999,27.01
31288,Cereals,Jan 1 2000,23.96
31289,Cereals,Jan 1 2001,36.25
31290,Cereals,Jan 1 2002,52.48
31291,Cereals,Jan 1 2003,38.52
31292,Cereals,Jan 1 2004,33.44
31293,Cereals,Jan 1 2005,26.32
31294,Cereals,Jan 1 2006,40.48
31295,Cereals,Jan 1 2007,60.07
31296,Cereals,Jan 1 2008,66.91
31297,Cereals,Jan 1 2009,51.76
31298,Cereals,Jan 1 2010,45.83
31299,Cereals,Jan 1 2011,62.93
31300,Cereals,Jan 1 2012,80.04
31301,Cereals,Jan 1 2013,81.05
31302,Cereals,Jan 1 2014,79.06
31303,Cereals,Jan 1 2015,96.56
31304,Cereals,Jan 1 2016,124.39
31305,Cereals,Jan 1 2017,75.86
31306,Cereals,Jan 1 2018,82.24
31307,Cereals,Jan 1 2019,68.98
31308,Citrus Fruit,Jan 1 1991,13.79
31309,Citrus Fruit,Jan 1 1992,15.97
31310,Citrus Fruit,Jan 1 1993,17.12
31311,Citrus Fruit,Jan 1 1994,18.01
31312,Citrus Fruit,Jan 1 1995,25.76
31313,Citrus Fruit,Jan 1 1996,23.05
31314,Citrus Fruit,Jan 1 1997,19.81
31315,Citrus Fruit,Jan 1 1998,29.14
31316,Citrus Fruit,Jan 1 1999,30.11
31317,Citrus Fruit,Jan 1 2000,21.5
31318,Citrus Fruit,Jan 1 2001,30.98
31319,Citrus Fruit,Jan 1 2002,33.56
31320,Citrus Fruit,Jan 1 2003,39.49
31321,Citrus Fruit,Jan 1 2004,43.75
31322,Citrus Fruit,Jan 1 2005,28.49
31323,Citrus Fruit,Jan 1 2006,33.32
31324,Citrus Fruit,Jan 1 2007,49.11
31325,Citrus Fruit,Jan 1 2008,59.2
31326,Citrus Fruit,Jan 1 2009,49.89
31327,Citrus Fruit,Jan 1 2010,69.84
31328,Citrus Fruit,Jan 1 2011,77.74
31329,Citrus Fruit,Jan 1 2012,79.07
31330,Citrus Fruit,Jan 1 2013,89.99
31331,Citrus Fruit,Jan 1 2014,106.81
31332,Citrus Fruit,Jan 1 2015,84.31
31333,Citrus Fruit,Jan 1 2016,108.87
31334,Citrus Fruit,Jan 1 2017,95.87
31335,Citrus Fruit,Jan 1 2018,100.03
31336,Citrus Fruit,Jan 1 2019,162.67
31337,Coarse Grain,Jan 1 1991,14.35
31338,Coarse Grain,Jan 1 1992,18.13
31339,Coarse Grain,Jan 1 1993,16.7
31340,Coarse Grain,Jan 1 1994,14.92
31341,Coarse Grain,Jan 1 1995,23.1
31342,Coarse Grain,Jan 1 1996,23.71
31343,Coarse Grain,Jan 1 1997,23.65
31344,Coarse Grain,Jan 1 1998,23.01
31345,Coarse Grain,Jan 1 1999,26.93
31346,Coarse Grain,Jan 1 2000,22.0
31347,Coarse Grain,Jan 1 2001,35.35
31348,Coarse Grain,Jan 1 2002,54.12
31349,Coarse Grain,Jan 1 2003,38.06
31350,Coarse Grain,Jan 1 2004,33.93
31351,Coarse Grain,Jan 1 2005,25.65
31352,Coarse Grain,Jan 1 2006,39.86
31353,Coarse Grain,Jan 1 2007,57.67
31354,Coarse Grain,Jan 1 2008,67.16
31355,Coarse Grain,Jan 1 2009,53.01
31356,Coarse Grain,Jan 1 2010,41.56
31357,Coarse Grain,Jan 1 2011,61.95
31358,Coarse Grain,Jan 1 2012,79.4
31359,Coarse Grain,Jan 1 2013,80.83
31360,Coarse Grain,Jan 1 2014,77.37
31361,Coarse Grain,Jan 1 2015,94.25
31362,Coarse Grain,Jan 1 2016,128.38
31363,Coarse Grain,Jan 1 2017,69.63
31364,Coarse Grain,Jan 1 2018,77.02
31365,Coarse Grain,Jan 1 2019,60.1
31366,Fruit,Jan 1 1991,13.79
31367,Fruit,Jan 1 1992,16.21
31368,Fruit,Jan 1 1993,20.37
31369,Fruit,Jan 1 1994,23.52
31370,Fruit,Jan 1 1995,26.63
31371,Fruit,Jan 1 1996,27.23
31372,Fruit,Jan 1 1997,29.92
31373,Fruit,Jan 1 1998,38.04
31374,Fruit,Jan 1 1999,37.27
31375,Fruit,Jan 1 2000,30.25
31376,Fruit,Jan 1 2001,42.31
31377,Fruit,Jan 1 2002,36.55
31378,Fruit,Jan 1 2003,40.8
31379,Fruit,Jan 1 2004,45.97
31380,Fruit,Jan 1 2005,42.92
31381,Fruit,Jan 1 2006,41.23
31382,Fruit,Jan 1 2007,51.38
31383,Fruit,Jan 1 2008,62.46
31384,Fruit,Jan 1 2009,67.23
31385,Fruit,Jan 1 2010,74.16
31386,Fruit,Jan 1 2011,79.72
