,symbol,date,price
32149,Cereals,Jan 1 1991,0.1
32150,Cereals,Jan 1 1992,0.2
32151,Cereals,Jan 1 1993,1.81
32152,Cereals,Jan 1 1994,4.96
32153,Cereals,Jan 1 1995,10.84
32154,Cereals,Jan 1 1996,10.41
32155,Cereals,Jan 1 1997,8.68
32156,Cereals,Jan 1 1998,8.68
32157,Cereals,Jan 1 1999,20.96
32158,Cereals,Jan 1 2000,40.46
32159,Cereals,Jan 1 2001,41.19
32160,Cereals,Jan 1 2002,41.2
32161,Cereals,Jan 1 2003,36.44
32162,Cereals,Jan 1 2004,40.5
32163,Cereals,Jan 1 2005,46.29
32164,Cereals,Jan 1 2006,49.24
32165,Cereals,Jan 1 2007,56.45
32166,Cereals,Jan 1 2008,133.07
32167,Cereals,Jan 1 2009,81.1
32168,Cereals,Jan 1 2010,92.66
32169,Cereals,Jan 1 2011,137.49
32170,Cereals,Jan 1 2012,124.48
32171,Cereals,Jan 1 2013,117.26
32172,Cereals,Jan 1 2014,102.82
32173,Cereals,Jan 1 2015,78.39
32174,Cereals,Jan 1 2016,118.79
32175,Cereals,Jan 1 2017,178.01
32176,Cereals,Jan 1 2018,163.55
32177,Cereals,Jan 1 2019,163.55
32178,Citrus Fruit,Jan 1 1991,0.03
32179,Citrus Fruit,Jan 1 1992,0.05
32180,Citrus Fruit,Jan 1 1993,0.08
32181,Citrus Fruit,Jan 1 1994,0.43
32182,Citrus Fruit,Jan 1 1995,2.95
32183,Citrus Fruit,Jan 1 1996,4.19
32184,Citrus Fruit,Jan 1 1997,4.3
32185,Citrus Fruit,Jan 1 1998,5.15
32186,Citrus Fruit,Jan 1 1999,7.23
32187,Citrus Fruit,Jan 1 2000,9.56
32188,Citrus Fruit,Jan 1 2001,9.28
32189,Citrus Fruit,Jan 1 2002,11.68
32190,Citrus Fruit,Jan 1 2003,23.72
32191,Citrus Fruit,Jan 1 2004,17.4
32192,Citrus Fruit,Jan 1 2005,26.85
32193,Citrus Fruit,Jan 1 2006,36.27
32194,Citrus Fruit,Jan 1 2007,37.05
32195,Citrus Fruit,Jan 1 2008,40.74
32196,Citrus Fruit,Jan 1 2009,49.29
32197,Citrus Fruit,Jan 1 2010,43.91
32198,Citrus Fruit,Jan 1 2011,75.25
32199,Citrus Fruit,Jan 1 2012,75.4
32200,Citrus Fruit,Jan 1 2013,97.85
32201,Citrus Fruit,Jan 1 2014,81.44
32202,Citrus Fruit,Jan 1 2015,96.22
32203,Citrus Fruit,Jan 1 2016,122.33
32204,Citrus Fruit,Jan 1 2017,165.62
32205,Citrus Fruit,Jan 1 2018,179.53
32206,Citrus Fruit,Jan 1 2019,192.51
32207,Coarse Grain,Jan 1 1991,0.04
32208,Coarse Grain,Jan 1 1992,0.04
32209,Coarse Grain,Jan 1 1993,0.07
32210,Coarse Grain,Jan 1 1994,0.24
32211,Coarse Grain,Jan 1 1995,2.0
32212,Coarse Grain,Jan 1 1996,3.2
32213,Coarse Grain,Jan 1 1997,3.4
32214,Coarse Grain,Jan 1 1998,5.07
32215,Coarse Grain,Jan 1 1999,5.34
32216,Coarse Grain,Jan 1 2000,6.74
32217,Coarse Grain,Jan 1 2001,9.05
32218,Coarse Grain,Jan 1 2002,10.75
32219,Coarse Grain,Jan 1 2003,12.75
32220,Coarse Grain,Jan 1 2004,16.69
32221,Coarse Grain,Jan 1 2005,21.09
32222,Coarse Grain,Jan 1 2006,40.05
32223,Coarse Grain,Jan 1 2007,34.98
32224,Coarse Grain,Jan 1 2008,55.94
32225,Coarse Grain,Jan 1 2009,63.42
32226,Coarse Grain,Jan 1 2010,64.75
32227,Coarse Grain,Jan 1 2011,80.11
32228,Coarse Grain,Jan 1 2012,78.91
32229,Coarse Grain,Jan 1 2013,80.11
32230,Coarse Grain,Jan 1 2014,79.17
32231,Coarse Grain,Jan 1 2015,116.42
32232,Coarse Grain,Jan 1 2016,104.41
32233,Coarse Grain,Jan 1 2017,103.87
32234,Coarse Grain,Jan 1 2018,99.2
32235,Coarse Grain,Jan 1 2019,100.13
32236,Fruit,Jan 1 1991,0.04
32237,Fruit,Jan 1 1992,0.05
32238,Fruit,Jan 1 1993,0.1
32239,Fruit,Jan 1 1994,0.89
32240,Fruit,Jan 1 1995,6.45
32241,Fruit,Jan 1 1996,7.25
32242,Fruit,Jan 1 1997,7.54
32243,Fruit,Jan 1 1998,8.8
32244,Fruit,Jan 1 1999,9.98
32245,Fruit,Jan 1 2000,17.27
32246,Fruit,Jan 1 2001,19.39
32247,Fruit,Jan 1 2002,21.08
32248,Fruit,Jan 1 2003,45.23
32249,Fruit,Jan 1 2004,34.26
32250,Fruit,Jan 1 2005,40.15
32251,Fruit,Jan 1 2006,49.74
32252,Fruit,Jan 1 2007,49.13
32253,Fruit,Jan 1 2008,53.65
32254,Fruit,Jan 1 2009,67.65
32255,Fruit,Jan 1 2010,54.82
32256,Fruit,Jan 1 2011,80.04
32257,Fruit,Jan 1 2012,85.21
32258,Fruit,Jan 1 2013,96.26
32259,Fruit,Jan 1 2014,75.6
32260,Fruit,Jan 1 2015,82.0
32261,Fruit,Jan 1 2016,142.4
