,symbol,date,price
35653,Cereals,Jan 1 1991,16.31
35654,Cereals,Jan 1 1992,16.75
35655,Cereals,Jan 1 1993,24.18
35656,Cereals,Jan 1 1994,27.44
35657,Cereals,Jan 1 1995,34.64
35658,Cereals,Jan 1 1996,41.67
35659,Cereals,Jan 1 1997,34.81
35660,Cereals,Jan 1 1998,36.07
35661,Cereals,Jan 1 1999,39.99
35662,Cereals,Jan 1 2000,29.36
35663,Cereals,Jan 1 2001,30.99
35664,Cereals,Jan 1 2002,34.34
35665,Cereals,Jan 1 2003,43.37
35666,Cereals,Jan 1 2004,48.68
35667,Cereals,Jan 1 2005,53.11
35668,Cereals,Jan 1 2006,75.52
35669,Cereals,Jan 1 2007,48.27
35670,Cereals,Jan 1 2008,85.53
35671,Cereals,Jan 1 2009,98.04
35672,Cereals,Jan 1 2010,112.5
35673,Cereals,Jan 1 2011,104.33
35674,Cereals,Jan 1 2012,79.97
35675,Cereals,Jan 1 2013,86.6
35676,Cereals,Jan 1 2014,87.82
35677,Cereals,Jan 1 2015,102.91
35678,Cereals,Jan 1 2016,109.27
35679,Cereals,Jan 1 2017,129.59
35680,Cereals,Jan 1 2018,155.32
35681,Cereals,Jan 1 2019,192.78
35682,Citrus Fruit,Jan 1 1991,18.45
35683,Citrus Fruit,Jan 1 1992,17.25
35684,Citrus Fruit,Jan 1 1993,15.52
35685,Citrus Fruit,Jan 1 1994,14.94
35686,Citrus Fruit,Jan 1 1995,17.26
35687,Citrus Fruit,Jan 1 1996,20.72
35688,Citrus Fruit,Jan 1 1997,23.15
35689,Citrus Fruit,Jan 1 1998,25.87
35690,Citrus Fruit,Jan 1 1999,66.04
35691,Citrus Fruit,Jan 1 2000,65.36
35692,Citrus Fruit,Jan 1 2001,31.32
35693,Citrus Fruit,Jan 1 2002,26.55
35694,Citrus Fruit,Jan 1 2003,48.34
35695,Citrus Fruit,Jan 1 2004,54.47
35696,Citrus Fruit,Jan 1 2005,54.05
35697,Citrus Fruit,Jan 1 2006,51.17
35698,Citrus Fruit,Jan 1 2007,57.73
35699,Citrus Fruit,Jan 1 2008,73.3
35700,Citrus Fruit,Jan 1 2009,76.45
35701,Citrus Fruit,Jan 1 2010,80.14
35702,Citrus Fruit,Jan 1 2011,82.0
35703,Citrus Fruit,Jan 1 2012,97.03
35704,Citrus Fruit,Jan 1 2013,107.19
35705,Citrus Fruit,Jan 1 2014,104.0
35706,Citrus Fruit,Jan 1 2015,96.77
35707,Citrus Fruit,Jan 1 2016,99.24
35708,Citrus Fruit,Jan 1 2017,108.58
35709,Citrus Fruit,Jan 1 2018,111.18
35710,Citrus Fruit,Jan 1 2019,119.03
35711,Coarse Grain,Jan 1 1991,16.31
35712,Coarse Grain,Jan 1 1992,16.75
35713,Coarse Grain,Jan 1 1993,24.18
35714,Coarse Grain,Jan 1 1994,27.44
35715,Coarse Grain,Jan 1 1995,34.64
35716,Coarse Grain,Jan 1 1996,41.67
