,symbol,date,price
36204,Cereals,Jan 1 1991,4.63
36205,Cereals,Jan 1 1992,7.31
36206,Cereals,Jan 1 1993,9.86
36207,Cereals,Jan 1 1994,14.21
36208,Cereals,Jan 1 1995,18.08
36209,Cereals,Jan 1 1996,28.12
36210,Cereals,Jan 1 1997,26.46
36211,Cereals,Jan 1 1998,30.6
36212,Cereals,Jan 1 1999,27.61
36213,Cereals,Jan 1 2000,23.68
36214,Cereals,Jan 1 2001,25.72
36215,Cereals,Jan 1 2002,37.2
36216,Cereals,Jan 1 2003,76.19
36217,Cereals,Jan 1 2004,75.76
36218,Cereals,Jan 1 2005,57.84
36219,Cereals,Jan 1 2006,67.04
36220,Cereals,Jan 1 2007,87.93
36221,Cereals,Jan 1 2008,110.3
36222,Cereals,Jan 1 2009,86.26
36223,Cereals,Jan 1 2010,79.37
36224,Cereals,Jan 1 2011,90.49
36225,Cereals,Jan 1 2012,91.82
36226,Cereals,Jan 1 2013,100.0
36227,Cereals,Jan 1 2014,101.94
36228,Cereals,Jan 1 2015,98.82
36229,Cereals,Jan 1 2016,99.24
36230,Cereals,Jan 1 2017,94.73
36231,Cereals,Jan 1 2018,94.5
36232,Cereals,Jan 1 2019,121.05
36233,Citrus Fruit,Jan 1 1991,3.41
36234,Citrus Fruit,Jan 1 1992,5.87
36235,Citrus Fruit,Jan 1 1993,6.75
36236,Citrus Fruit,Jan 1 1994,11.28
36237,Citrus Fruit,Jan 1 1995,18.61
36238,Citrus Fruit,Jan 1 1996,19.68
36239,Citrus Fruit,Jan 1 1997,19.78
36240,Citrus Fruit,Jan 1 1998,17.99
36241,Citrus Fruit,Jan 1 1999,20.72
36242,Citrus Fruit,Jan 1 2000,36.35
36243,Citrus Fruit,Jan 1 2001,24.52
36244,Citrus Fruit,Jan 1 2002,27.39
36245,Citrus Fruit,Jan 1 2003,46.6
36246,Citrus Fruit,Jan 1 2004,45.11
36247,Citrus Fruit,Jan 1 2005,44.28
36248,Citrus Fruit,Jan 1 2006,57.36
36249,Citrus Fruit,Jan 1 2007,63.87
36250,Citrus Fruit,Jan 1 2008,78.69
36251,Citrus Fruit,Jan 1 2009,94.66
36252,Citrus Fruit,Jan 1 2010,76.62
36253,Citrus Fruit,Jan 1 2011,94.48
36254,Citrus Fruit,Jan 1 2012,93.74
36255,Citrus Fruit,Jan 1 2013,95.43
36256,Citrus Fruit,Jan 1 2014,96.5
36257,Citrus Fruit,Jan 1 2015,86.1
36258,Citrus Fruit,Jan 1 2016,117.39
36259,Citrus Fruit,Jan 1 2017,117.84
36260,Citrus Fruit,Jan 1 2018,142.38
36261,Citrus Fruit,Jan 1 2019,122.13
36262,Coarse Grain,Jan 1 1991,3.9
36263,Coarse Grain,Jan 1 1992,6.62
36264,Coarse Grain,Jan 1 1993,9.02
36265,Coarse Grain,Jan 1 1994,12.76
36266,Coarse Grain,Jan 1 1995,16.25
36267,Coarse Grain,Jan 1 1996,25.77
36268,Coarse Grain,Jan 1 1997,22.0
36269,Coarse Grain,Jan 1 1998,22.04
36270,Coarse Grain,Jan 1 1999,22.69
36271,Coarse Grain,Jan 1 2000,24.27
36272,Coarse Grain,Jan 1 2001,23.09
36273,Coarse Grain,Jan 1 2002,40.36
36274,Coarse Grain,Jan 1 2003,59.2
36275,Coarse Grain,Jan 1 2004,70.76
36276,Coarse Grain,Jan 1 2005,51.39
36277,Coarse Grain,Jan 1 2006,66.92
36278,Coarse Grain,Jan 1 2007,81.81
36279,Coarse Grain,Jan 1 2008,84.07
36280,Coarse Grain,Jan 1 2009,71.74
36281,Coarse Grain,Jan 1 2010,71.97
36282,Coarse Grain,Jan 1 2011,93.19
36283,Coarse Grain,Jan 1 2012,87.31
36284,Coarse Grain,Jan 1 2013,90.21
