,symbol,date,price
36570,Cereals,Jan 1 1991,0.15
36571,Cereals,Jan 1 1992,0.17
36572,Cereals,Jan 1 1993,0.22
36573,Cereals,Jan 1 1994,0.43
36574,Cereals,Jan 1 1995,0.62
36575,Cereals,Jan 1 1996,1.65
36576,Cereals,Jan 1 1997,2.02
36577,Cereals,Jan 1 1998,1.91
36578,Cereals,Jan 1 1999,2.17
36579,Cereals,Jan 1 2000,2.45
36580,Cereals,Jan 1 2001,2.63
36581,Cereals,Jan 1 2002,3.31
36582,Cereals,Jan 1 2003,5.55
36583,Cereals,Jan 1 2004,6.45
36584,Cereals,Jan 1 2005,8.18
36585,Cereals,Jan 1 2006,8.8
36586,Cereals,Jan 1 2007,9.85
36587,Cereals,Jan 1 2008,15.31
36588,Cereals,Jan 1 2009,16.89
36589,Cereals,Jan 1 2010,24.17
36590,Cereals,Jan 1 2011,37.06
36591,Cereals,Jan 1 2012,31.9
36592,Cereals,Jan 1 2013,56.73
36593,Cereals,Jan 1 2014,100.0
36594,Cereals,Jan 1 2018,4392603.0
36595,Citrus Fruit,Jan 1 1991,0.04
36596,Citrus Fruit,Jan 1 1992,0.06
36597,Citrus Fruit,Jan 1 1993,0.06
36598,Citrus Fruit,Jan 1 1994,0.06
36599,Citrus Fruit,Jan 1 1995,0.09
36600,Citrus Fruit,Jan 1 1996,0.2
36601,Citrus Fruit,Jan 1 1997,0.66
36602,Citrus Fruit,Jan 1 1998,0.53
36603,Citrus Fruit,Jan 1 1999,0.6
36604,Citrus Fruit,Jan 1 2000,0.63
36605,Citrus Fruit,Jan 1 2001,0.76
36606,Citrus Fruit,Jan 1 2002,0.85
36607,Citrus Fruit,Jan 1 2003,1.26
36608,Citrus Fruit,Jan 1 2004,1.51
36609,Citrus Fruit,Jan 1 2005,1.97
36610,Citrus Fruit,Jan 1 2006,2.4
36611,Citrus Fruit,Jan 1 2007,3.37
36612,Citrus Fruit,Jan 1 2008,5.4
36613,Citrus Fruit,Jan 1 2009,8.54
36614,Citrus Fruit,Jan 1 2010,14.16
36615,Citrus Fruit,Jan 1 2011,34.08
36616,Citrus Fruit,Jan 1 2012,47.47
36617,Citrus Fruit,Jan 1 2013,61.59
36618,Citrus Fruit,Jan 1 2014,100.0
36619,Citrus Fruit,Jan 1 2018,11542447.0
36620,Coarse Grain,Jan 1 1991,0.12
36621,Coarse Grain,Jan 1 1992,0.15
36622,Coarse Grain,Jan 1 1993,0.21
36623,Coarse Grain,Jan 1 1994,0.39
36624,Coarse Grain,Jan 1 1995,0.53
36625,Coarse Grain,Jan 1 1996,1.44
