Partners,date,DairyEggHoney,Cereal,Fish,FruitNut,LiveAnimal,Meat,Vegetables,TotalBalance,Rate Per Million,sub-region
New Zealand,7/1/2018 0:00,1028039,-25904,84047,222814,6183,410108,10679,1779248,0,Australia and New Zealand
New Zealand,8/1/2018 0:00,347462,-26789,77280,180446,6973,289179,6848,924712,0,Australia and New Zealand
New Zealand,2/1/2020 0:00,952738,-12996,75547,10194,17334,503246,38118,1628043,0,Australia and New Zealand
Spain,7/1/2018 0:00,-53539,-220294,-329426,524212,52800,394402,185016,596453,0,Southern Europe
Spain,8/1/2018 0:00,-33077,-226867,-288537,430390,51683,400344,137370,514619,0,Southern Europe
Brazil,7/1/2018 0:00,-30457,7602,-65586,-24690,38989,1373491,-17450,1325181,0,Latin America and the Caribbean
Brazil,2/1/2020 0:00,-18188,-32172,-102907,16783,7886,1179062,-37267,1057059,0,Latin America and the Caribbean
Brazil,8/1/2018 0:00,-20282,289921,-49558,-6844,48335,1326811,-7574,1624122,0,Latin America and the Caribbean
Canada,7/1/2018 0:00,-10198,454486,299786,-338515,74982,247739,175122,946684,0,Northern America
Canada,2/1/2020 0:00,-5592,323589,77168,-336401,90945,339094,37368,570033,0,Northern America
Canada,8/1/2018 0:00,-18464,516396,214775,-217384,66520,274290,179955,1059401,0,Northern America
France,7/1/2018 0:00,160896,459644,-354011,-343738,168968,-156999,-108963,-130921,0,Western Europe
France,2/1/2020 0:00,222561,757252,-296798,-372235,153081,-111383,-88306,308034,0,Western Europe
France,8/1/2018 0:00,182756,473073,-334949,-303153,167444,-132067,-70733,25684,0,Western Europe
China,7/1/2018 0:00,-446310,-293998,239667,-267050,13679,-809536,798185,-722081,0,Eastern Asia
China,2/1/2020 0:00,-593071,-362716,-439711,-480272,18338,-1920935,332007,-3402498,0,Eastern Asia
China,8/1/2018 0:00,-486620,-262115,68028,-433021,11073,-874153,694687,-1238808,0,Eastern Asia
United States of America,7/1/2018 0:00,126488,1633394,-1007790,-213278,-127075,615963,-435099,635885,0,Northern America
United States of America,8/1/2018 0:00,171489,1515165,-868376,-512218,-110912,733613,-463588,508486,0,Northern America
Netherlands,7/1/2018 0:00,426528,-229303,57285,-29782,66276,353414,497100,1184800,0,Western Europe
Netherlands,8/1/2018 0:00,432461,-200169,76433,-13185,72951,448556,516232,1376592,0,Western Europe
